defect_id,module,line,do254_alias,questa_check,slide_tag,severity,fix_description,status
1,mux_latch,10,SS4,latch_inferred,Slide 4-C1,Warning->Error(DAL),,
2,case_no_default,14,SS2-a,case_default_missing,Slide 5-ST1,Error,,
3,case_casex,12,SS2-b,case_with_x_z,Slide 5-ST2,Warning->Error(safety),,
4,case_dup,16,SS2-c,case_item_duplicate,Slide 5-ST3,Error,,
5,width_ovfl,8,CP7-W1,assign_width_overflow,Slide 6-W1,Warning->Error(DAL),,
6,width_udfl,9,CP7-W2,assign_width_underflow,Slide 6-W2,Warning->Error(DAL),,
7,sign_compare,11,CP7-W3,comparison_width_mismatch,Slide 6-W3,Warning->Error(DAL),,
8,case_sel_width,15,CP7-W4,case_width_mismatch,Slide 6-W4,Warning->Error(DAL),,
9,ff_no_reset,10,SS18,flop_without_control,Slide 7,Warning->Error(DAL),,
10,undriven_net,7,SS17,undriven_signal,Slide 7,Error,,
11,fsm_latent,24,CP6,fsm_with_unreachable_state,Slide 8-F1,Warning,,
12,fsm_latent,35,CP6,fsm_with_deadend_state,Slide 8-F2,Error,,
13,fsm_latent,16,CP5,fsm_state_value_hardcoded,Slide 8-F3,Warning,,
14,fsm_latent,42,CP6,fsm_without_default_state,Slide 8-F4,Warning,,
15,fsm_latent,44,CP6,fsm_without_reset_state,Slide 8-F4,Error,,
